run_accession	sample_alias
ERR2213660	NSCLC_B_001_T0
ERR2213661	NSCLC_B_001_T1
ERR2213662	NSCLC_B_001_T2
ERR2213663	NSCLC_B_002_T1
ERR2213664	NSCLC_B_003_T1
ERR2213665	NSCLC_B_004_T0
ERR2213666	NSCLC_B_005_T0
ERR2213667	NSCLC_B_005_T1
ERR2213668	NSCLC_B_005_T2
ERR2213669	NSCLC_B_006_T0
ERR2213670	NSCLC_B_006_T1
ERR2213671	NSCLC_B_008_T1
ERR2213672	NSCLC_B_009_T0
ERR2213673	NSCLC_B_010_T1
ERR2213674	NSCLC_B_012_T1
ERR2213675	NSCLC_B_013_T0
ERR2213676	NSCLC_B_013_T1
ERR2213677	NSCLC_B_015_T0
ERR2213678	NSCLC_B_015_T1
ERR2213679	NSCLC_B_016_T1
ERR2213680	NSCLC_B_017_T0
ERR2213681	NSCLC_C_001_T1
ERR2213682	NSCLC_C_004_T0
ERR2213683	NSCLC_C_004_T1
ERR2213684	NSCLC_C_004_T2
ERR2213685	NSCLC_C_005_T0
ERR2213686	NSCLC_C_005_T1
ERR2213687	NSCLC_C_005_T2
ERR2213688	NSCLC_C_007_T0
ERR2213689	NSCLC_C_007_T1
ERR2213690	NSCLC_C_007_T2
ERR2213691	NSCLC_C_008_T0
ERR2213692	NSCLC_C_008_T1
ERR2213693	NSCLC_C_008_T2
ERR2213694	NSCLC_C_010_T0
ERR2213695	NSCLC_C_010_T1
ERR2213696	NSCLC_C_011_T0
ERR2213697	NSCLC_C_011_T1
ERR2213698	NSCLC_C_011_T2
ERR2213699	NSCLC_C_012_T0
ERR2213700	NSCLC_C_015_T0
ERR2213701	NSCLC_C_016_T0
ERR2213702	NSCLC_C_016_T1
ERR2213703	NSCLC_C_016_T2
ERR2213704	NSCLC_C_018_T0
ERR2213705	NSCLC_C_020_T0
ERR2213706	NSCLC_C_021_T0
ERR2213707	NSCLC_I_001_T0
ERR2213708	NSCLC_I_001_T1
ERR2213709	NSCLC_I_001_T2
ERR2213710	NSCLC_I_002_T1
ERR2213711	NSCLC_I_003_T1
ERR2213712	NSCLC_I_004_T1
ERR2213713	NSCLC_I_005_T1
ERR2213714	NSCLC_I_006_T1
ERR2213715	NSCLC_I_007_T0
ERR2213716	NSCLC_I_007_T2
ERR2213717	NSCLC_I_009_T1
ERR2213718	NSCLC_I_010_T1
ERR2213719	NSCLC_I_011_T0
ERR2213720	NSCLC_I_011_T2
ERR2213721	NSCLC_I_012_T1
ERR2213722	NSCLC_I_014_T1
ERR2213723	NSCLC_I_015_T0
ERR2213724	NSCLC_I_015_T2
ERR2213725	NSCLC_I_016_T1
ERR2213726	NSCLC_I_017_T1
ERR2213727	NSCLC_I_018_T1
ERR2213728	NSCLC_I_019_T0
ERR2213729	NSCLC_I_019_T1
ERR2213730	NSCLC_I_019_T2
ERR2213731	NSCLC_I_020_T0
ERR2213732	NSCLC_I_021_T1
ERR2213733	NSCLC_I_022_T0
ERR2213734	NSCLC_I_024_T0
ERR2213735	NSCLC_I_028_T0
ERR2213736	NSCLC_I_029_T0
ERR2213737	NSCLC_I_030_T0
ERR2213738	NSCLC_I_030_T1
ERR2213739	NSCLC_I_030_T2
ERR2213740	NSCLC_I_031_T0
ERR2213741	NSCLC_I_032_T0
ERR2213742	NSCLC_I_032_T1
ERR2213743	NSCLC_I_032_T2
ERR2235210	NSCLC_I_034_T0
ERR2235211	NSCLC_I_035_T0
ERR2235212	NSCLC_I_036_T0
ERR2235213	NSCLC_I_038_T0
ERR2235214	NSCLC_I_039_T0
