run_accession	sample_alias
SRR5930493	melanoma_P22
SRR5930494	melanoma_P23
SRR5930495	melanoma_P7
SRR5930496	melanoma_P7_2
SRR5930497	melanoma_P8
SRR5930498	melanoma_P10
SRR5930499	melanoma_P14
SRR5930500	melanoma_P14_2
SRR5930501	melanoma_P16
SRR5930502	melanoma_P17
SRR5930503	melanoma_P57
SRR5930504	melanoma_P69
SRR5930505	melanoma_P68
SRR5930506	melanoma_P67
SRR5930507	melanoma_P66
SRR5930508	melanoma_P54
SRR5930509	melanoma_P53
SRR5930510	melanoma_P42
SRR5930511	melanoma_P39
SRR5930512	melanoma_P45
SRR5930513	melanoma_P44
SRR5930514	melanoma_P48
SRR5930515	melanoma_P46
SRR5930516	melanoma_P52
SRR5930517	melanoma_P49
SRR5930518	melanoma_P64
SRR5930519	melanoma_P65
SRR5930520	melanoma_P56
SRR5930521	melanoma_P30
SRR5930522	melanoma_P32
SRR5930523	melanoma_P33
SRR5930524	melanoma_P33_2
SRR5930525	melanoma_P23_2
SRR5930526	melanoma_P24
SRR5930527	melanoma_P25
SRR5930528	melanoma_P28
SRR5930529	melanoma_P61
SRR5930530	melanoma_P63
SRR5930531	melanoma_P58
SRR5930532	melanoma_P59
SRR5930533	melanoma_P34
SRR5930534	melanoma_P35
SRR5930535	melanoma_P54_2
SRR5930536	melanoma_P55
