sample_accession	run_accession	library_strategy
SAMN11605850	SRR9033715	WGS
SAMN11605849	SRR9033716	WGS
SAMN11605816	SRR9033717	WGS
SAMN11605848	SRR9033718	WGS
SAMN11605815	SRR9033719	WGS
SAMN11605837	SRR9033720	WGS
SAMN11605836	SRR9033721	WGS
SAMN11605852	SRR9033722	WGS
SAMN11605851	SRR9033723	WGS
SAMN11605854	SRR9033724	WGS
SAMN11605853	SRR9033725	WGS
SAMN11605831	SRR9033726	WGS
SAMN11605830	SRR9033727	WGS
SAMN11605829	SRR9033728	WGS
SAMN11605828	SRR9033729	WGS
SAMN11605835	SRR9033730	WGS
SAMN11605834	SRR9033731	WGS
SAMN11605833	SRR9033732	WGS
SAMN11605832	SRR9033733	WGS
SAMN11605855	SRR9033734	WGS
SAMN11605814	SRR9033735	WGS
SAMN11605813	SRR9033736	WGS
SAMN11605821	SRR9033737	WGS
SAMN11605812	SRR9033738	WGS
SAMN11605823	SRR9033739	WGS
SAMN11605822	SRR9033740	WGS
SAMN11605825	SRR9033741	WGS
SAMN11605824	SRR9033742	WGS
SAMN11605827	SRR9033743	WGS
SAMN11605826	SRR9033744	WGS
SAMN11605840	SRR9033745	WGS
SAMN11605841	SRR9033746	WGS
SAMN11605838	SRR9033747	WGS
SAMN11605839	SRR9033748	WGS
SAMN11605844	SRR9033749	WGS
SAMN11605845	SRR9033750	WGS
SAMN11605842	SRR9033751	WGS
SAMN11605843	SRR9033752	WGS
SAMN11605846	SRR9033753	WGS
SAMN11605847	SRR9033754	WGS
SAMN11605856	SRR9033755	WGS
SAMN11605857	SRR9033756	WGS
SAMN11605858	SRR9033757	WGS
SAMN11605859	SRR9033758	WGS
SAMN11605817	SRR9033759	WGS
SAMN11605818	SRR9033760	WGS
SAMN11605819	SRR9033761	WGS
SAMN11605820	SRR9033762	WGS
