run_accession	library_strategy	sample_alias
SRR6000869	WGS	SAM_15
SRR6000870	WGS	SAM_29
SRR6000871	WGS	SAM_07
SRR6000872	AMPLICON	SAM_34
SRR6000873	WGS	SAM_04
SRR6000874	WGS	SAM_05
SRR6000875	AMPLICON	SAM_41
SRR6000876	AMPLICON	SAM_42
SRR6000877	WGS	SAM_06
SRR6000878	WGS	SAM_08
SRR6000879	AMPLICON	SAM_33
SRR6000880	AMPLICON	SAM_27
SRR6000881	AMPLICON	SAM_28
SRR6000882	AMPLICON	SAM_25
SRR6000883	AMPLICON	SAM_26
SRR6000884	AMPLICON	SAM_23
SRR6000885	AMPLICON	SAM_24
SRR6000886	AMPLICON	SAM_21
SRR6000887	AMPLICON	SAM_22
SRR6000888	AMPLICON	SAM_29
SRR6000889	AMPLICON	SAM_30
SRR6000890	WGS	SAM_14
SRR6000891	WGS	SAM_31
SRR6000892	WGS	SAM_35
SRR6000893	WGS	SAM_02
SRR6000894	WGS	SAM_01
SRR6000895	WGS	SAM_40
SRR6000896	WGS	SAM_18
SRR6000897	AMPLICON	SAM_40
SRR6000898	AMPLICON	SAM_39
SRR6000899	WGS	SAM_03
SRR6000900	WGS	SAM_27
SRR6000901	WGS	SAM_23
SRR6000902	WGS	SAM_22
SRR6000903	WGS	SAM_20
SRR6000904	AMPLICON	SAM_10
SRR6000905	WGS	SAM_21
SRR6000906	WGS	SAM_24
SRR6000907	WGS	SAM_30
SRR6000908	WGS	SAM_33
SRR6000909	WGS	SAM_32
SRR6000910	WGS	SAM_26
SRR6000911	WGS	SAM_34
SRR6000912	WGS	SAM_37
SRR6000913	AMPLICON	SAM_36
SRR6000914	AMPLICON	SAM_35
SRR6000915	AMPLICON	SAM_38
SRR6000916	AMPLICON	SAM_37
SRR6000917	AMPLICON	SAM_32
SRR6000918	AMPLICON	SAM_31
SRR6000919	AMPLICON	SAM_20
SRR6000920	WGS	SAM_36
SRR6000921	WGS	SAM_38
SRR6000922	AMPLICON	SAM_19
SRR6000923	AMPLICON	SAM_18
SRR6000924	AMPLICON	SAM_17
SRR6000925	AMPLICON	SAM_16
SRR6000926	AMPLICON	SAM_15
SRR6000927	AMPLICON	SAM_14
SRR6000928	AMPLICON	SAM_13
SRR6000929	AMPLICON	SAM_12
SRR6000930	AMPLICON	SAM_11
SRR6000931	WGS	SAM_28
SRR6000932	WGS	SAM_39
SRR6000933	AMPLICON	SAM_09
SRR6000934	AMPLICON	SAM_06
SRR6000935	AMPLICON	SAM_05
SRR6000936	AMPLICON	SAM_07
SRR6000937	AMPLICON	SAM_02
SRR6000938	AMPLICON	SAM_01
SRR6000939	AMPLICON	SAM_08
SRR6000940	WGS	SAM_11
SRR6000941	AMPLICON	SAM_04
SRR6000942	WGS	SAM_25
SRR6000943	WGS	SAM_13
SRR6000944	WGS	SAM_10
SRR6000945	WGS	SAM_12
SRR6000946	WGS	SAM_16
SRR6000947	WGS	SAM_19
SRR6000948	AMPLICON	SAM_03
SRR6000949	WGS	SAM_17
SRR6159088	AMPLICON	SAM_mouse_F
SRR6159089	AMPLICON	SAM_mouse_F
SRR6159090	AMPLICON	SAM_mouse_F
SRR6159091	AMPLICON	SAM_mouse_F
SRR6159092	AMPLICON	SAM_mouse_F
SRR6159093	AMPLICON	SAM_mouse_F
SRR6159094	AMPLICON	SAM_mouse_F
SRR6159095	AMPLICON	SAM_mouse_A
SRR6159096	AMPLICON	SAM_mouse_B
SRR6159097	AMPLICON	SAM_mouse_A
SRR6159098	AMPLICON	SAM_mouse_A
SRR6159099	AMPLICON	SAM_mouse_A
SRR6159100	AMPLICON	SAM_mouse_A
SRR6159101	AMPLICON	SAM_mouse_A
SRR6159102	AMPLICON	SAM_mouse_A
SRR6159103	AMPLICON	SAM_mouse_A
SRR6159104	AMPLICON	SAM_mouse_A
SRR6159105	AMPLICON	SAM_mouse_B
SRR6159106	AMPLICON	SAM_mouse_B
SRR6159107	AMPLICON	SAM_mouse_B
SRR6159108	AMPLICON	SAM_mouse_B
SRR6159109	AMPLICON	SAM_mouse_B
SRR6159110	AMPLICON	SAM_mouse_B
SRR6159111	AMPLICON	SAM_mouse_B
SRR6159112	AMPLICON	SAM_mouse_B
SRR6159113	AMPLICON	SAM_mouse_C
SRR6159114	AMPLICON	SAM_mouse_B
SRR6159115	AMPLICON	SAM_mouse_TAC
SRR6159116	AMPLICON	SAM_mouse_A
SRR6159117	AMPLICON	SAM_mouse_TAC
SRR6159118	AMPLICON	SAM_mouse_TAC
SRR6159119	AMPLICON	SAM_mouse_TAC
SRR6159120	AMPLICON	SAM_mouse_TAC
SRR6159121	AMPLICON	SAM_mouse_TAC
SRR6159122	AMPLICON	SAM_mouse_TAC
SRR6159123	AMPLICON	SAM_mouse_TAC
SRR6159124	AMPLICON	SAM_mouse_TAC
SRR6159125	AMPLICON	SAM_mouse_C
SRR6159126	AMPLICON	SAM_mouse_C
SRR6159127	AMPLICON	SAM_mouse_C
SRR6159128	AMPLICON	SAM_mouse_C
SRR6159129	AMPLICON	SAM_mouse_C
SRR6159130	AMPLICON	SAM_mouse_C
SRR6159131	AMPLICON	SAM_mouse_C
SRR6159132	AMPLICON	SAM_mouse_C
SRR6159133	AMPLICON	SAM_mouse_C
SRR6159134	AMPLICON	SAM_mouse_D
SRR6159135	AMPLICON	SAM_mouse_D
SRR6159136	AMPLICON	SAM_mouse_D
SRR6159137	AMPLICON	SAM_mouse_D
SRR6159138	AMPLICON	SAM_mouse_D
SRR6159139	AMPLICON	SAM_mouse_D
SRR6159140	AMPLICON	SAM_mouse_D
SRR6159141	AMPLICON	SAM_mouse_D
SRR6159142	AMPLICON	SAM_mouse_D
SRR6159143	AMPLICON	SAM_mouse_A
SRR6159144	AMPLICON	SAM_mouse_A
SRR6159145	AMPLICON	SAM_mouse_A
SRR6159146	AMPLICON	SAM_mouse_B
SRR6159147	AMPLICON	SAM_mouse_A
SRR6159148	AMPLICON	SAM_mouse_A
SRR6159149	AMPLICON	SAM_mouse_A
SRR6159150	AMPLICON	SAM_mouse_A
SRR6159151	AMPLICON	SAM_mouse_A
SRR6159152	AMPLICON	SAM_mouse_A
SRR6159153	AMPLICON	SAM_mouse_A
