run_accession	library_strategy	library_source	fastq_ftp
SRR9033715	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/005/SRR9033715/SRR9033715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/005/SRR9033715/SRR9033715_2.fastq.gz
SRR9033716	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/006/SRR9033716/SRR9033716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/006/SRR9033716/SRR9033716_2.fastq.gz
SRR9033717	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/007/SRR9033717/SRR9033717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/007/SRR9033717/SRR9033717_2.fastq.gz
SRR9033718	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/008/SRR9033718/SRR9033718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/008/SRR9033718/SRR9033718_2.fastq.gz
SRR9033719	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/009/SRR9033719/SRR9033719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/009/SRR9033719/SRR9033719_2.fastq.gz
SRR9033720	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/000/SRR9033720/SRR9033720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/000/SRR9033720/SRR9033720_2.fastq.gz
SRR9033721	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/001/SRR9033721/SRR9033721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/001/SRR9033721/SRR9033721_2.fastq.gz
SRR9033722	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/002/SRR9033722/SRR9033722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/002/SRR9033722/SRR9033722_2.fastq.gz
SRR9033723	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/003/SRR9033723/SRR9033723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/003/SRR9033723/SRR9033723_2.fastq.gz
SRR9033724	WGS	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/004/SRR9033724/SRR9033724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/004/SRR9033724/SRR9033724_2.fastq.gz
